investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier
Goldman Sachs,Commit,300,40,2,Market,2,30,0,Participant,Bookrunner
Deutsche Bank,Decline,1200,140,2,Market,2,115,20.1,Bookrunner,Participant
Bank of America,Commit,900,130,3,Market,2,98,24.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,210,2,Market,2,165,56.6,Bookrunner,Bookrunner
Wells Fargo,Commit,900,90,3,Market,3,161,38.5,Bookrunner,Participant
Deutsche Bank,Commit,1400,240,5,Below,1,188,9.8,Bookrunner,Bookrunner
Wells Fargo,Commit,2200,250,7,Market,0,169,3.4,Participant,Participant
MUFG Union,Commit,400,60,4,Market,1,22,3.2,Bookrunner,Bookrunner
MUFG Union,Commit,1100,160,8,Market,0,146,34,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,210,2,Market,1,48,13.2,Bookrunner,Bookrunner
Bank of America,Commit,600,90,2,Below,1,25,3.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,300,9,Below,1,581,147.6,Bookrunner,Bookrunner
Bank of America,Commit,1200,240,1,Below,2,79,26.5,Bookrunner,Bookrunner
Goldman Sachs,Decline,600,80,3,Market,2,56,1.1,Bookrunner,Bookrunner
MUFG Union,Decline,700,70,2,Below,2,102,24.1,Bookrunner,Participant
Deutsche Bank,Decline,1100,140,9,Market,0,99,3.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,140,3,Market,3,157,18.2,Bookrunner,Bookrunner
Deutsche Bank,Decline,200,10,2,Market,3,31,3.7,Bookrunner,Participant
Deutsche Bank,Commit,800,110,1,Below,2,99,24.7,Bookrunner,Bookrunner
Wells Fargo,Decline,200,20,2,Below,3,33,6.7,Participant,Participant
Wells Fargo,Commit,600,100,2,Market,2,63,15.7,Bookrunner,Bookrunner
Bank of America,Commit,1800,470,3,Below,3,711,230.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,180,1,Above,2,129,34.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,140,1,Market,3,117,13.3,Bookrunner,Bookrunner
Wells Fargo,Commit,300,40,2,Market,2,39,11.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,300,40,2,Market,2,43,9.8,Bookrunner,Bookrunner
Goldman Sachs,Decline,800,80,3,Market,2,44,2.6,Bookrunner,Participant
MUFG Union,Commit,1400,220,8,Market,0,63,3,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,130,1,Market,3,144,4.6,Bookrunner,Bookrunner
Bank of America,Commit,400,80,3,Market,2,50,11,Bookrunner,Bookrunner
Goldman Sachs,Decline,500,50,3,Market,2,32,2.5,Bookrunner,Participant
Bank of America,Commit,1600,230,9,Market,0,95,20,Bookrunner,Bookrunner
Deutsche Bank,Commit,1800,290,1,Market,1,55,7.2,Bookrunner,Bookrunner
MUFG Union,Commit,1600,250,6,Market,1,134,41.4,Bookrunner,Bookrunner
MUFG Union,Commit,1800,350,8,Market,0,165,26.6,Participant,Bookrunner
Wells Fargo,Commit,900,120,2,Market,1,-2,-0.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,240,3,Market,2,87,4.2,Bookrunner,Bookrunner
Bank of America,Commit,400,50,3,Below,2,48,10.4,Participant,Participant
Bank of America,Commit,200,40,1,Market,2,29,8.4,Bookrunner,Bookrunner
MUFG Union,Commit,2000,330,2,Below,1,74,21.1,Bookrunner,Bookrunner
Goldman Sachs,Decline,300,20,3,Above,2,30,4.8,Bookrunner,Participant
Deutsche Bank,Commit,1600,300,9,Market,0,178,18,Bookrunner,Bookrunner
MUFG Union,Commit,600,100,3,Market,1,28,2.2,Bookrunner,Bookrunner
Bank of America,Commit,1500,180,9,Market,0,148,13.8,Participant,Participant
MUFG Union,Commit,800,160,3,Above,2,47,14.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,90,4,Below,0,36,7.8,Bookrunner,Participant
Goldman Sachs,Commit,900,130,1,Market,1,44,4.9,Bookrunner,Bookrunner
Bank of America,Commit,1700,360,7,Market,0,88,29.1,Bookrunner,Bookrunner
Wells Fargo,Commit,400,50,1,Market,2,55,12.5,Bookrunner,Participant
Goldman Sachs,Commit,300,60,1,Market,2,26,7.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,330,6,Market,1,223,50.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,200,40,3,Market,2,18,0.2,Participant,Bookrunner
Deutsche Bank,Commit,1800,240,7,Market,0,213,17,Participant,Bookrunner
Deutsche Bank,Commit,500,90,2,Market,2,49,17.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,80,1,Market,2,64,8,Participant,Bookrunner
Deutsche Bank,Commit,2200,520,5,Market,1,186,76.4,Bookrunner,Bookrunner
Bank of America,Commit,2300,400,10,Market,0,252,30.7,Bookrunner,Bookrunner
MUFG Union,Decline,600,40,4,Market,1,63,10.1,Bookrunner,Participant
Deutsche Bank,Decline,300,50,1,Market,1,10,1.1,Bookrunner,Bookrunner
Bank of America,Commit,1300,330,1,Below,2,127,30.6,Bookrunner,Bookrunner
Bank of America,Decline,400,60,3,Market,2,55,1.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,150,5,Above,1,186,21.6,Bookrunner,Participant
Goldman Sachs,Commit,1400,200,6,Market,0,59,16.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,800,80,1,Market,2,72,5.6,Bookrunner,Participant
MUFG Union,Commit,1300,250,1,Market,2,105,12.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,800,190,1,Market,2,90,21.6,Participant,Bookrunner
Wells Fargo,Commit,2000,310,6,Market,1,180,8.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,200,5,Market,1,245,66.2,Participant,Bookrunner
